px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.4366	16.0472	4.82088	2.06337	0.625807	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.15317
19.332	16.2615	4.8172	2.0737	0.57284	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.10532
19.2187	16.4433	4.79411	2.10485	0.578778	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	1.53596
19.0956	16.6452	4.79176	2.13411	0.580463	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.375993
18.9717	16.8447	4.78856	2.16104	0.578559	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.054759
18.814	17.0333	4.79567	2.22507	0.666762	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	5.9026
18.6561	17.2437	4.81608	2.25676	0.662238	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.09807
18.5496	17.4567	4.8084	2.23093	0.527065	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.46623
18.3486	17.6312	4.82048	2.27605	0.546293	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.57616
18.2101	17.8256	4.81657	2.2745	0.47711	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.2123
18.0789	18.0132	4.80854	2.289	0.467716	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.968132
17.8995	18.1692	4.80432	2.33717	0.521756	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.26703
17.7589	18.3228	4.7787	2.3592	0.52006	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.65124
17.62	18.5092	4.7745	2.36487	0.486665	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.66959
17.4375	18.6784	4.78261	2.39106	0.487879	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.182706
17.252	18.8223	4.77777	2.42938	0.517362	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.96821
17.0862	18.9631	4.76012	2.45408	0.517839	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.733462
16.9181	19.1336	4.76292	2.4647	0.491786	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.87078
16.7045	19.2451	4.75631	2.50582	0.510881	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.87787
16.5159	19.3958	4.76194	2.53081	0.517299	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.09631
16.3062	19.5426	4.77758	2.55609	0.515058	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.563852
16.0793	19.6278	4.77079	2.61082	0.566074	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	10.2272
15.8807	19.7652	4.77633	2.63119	0.556645	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.683835
15.6875	19.8945	4.76861	2.63136	0.490394	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.22721
15.472	20.0359	4.78738	2.64843	0.480076	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.22805
15.2671	20.1726	4.79507	2.65903	0.457709	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.62427
15.0764	20.307	4.7924	2.66906	0.443604	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.74234
14.8471	20.3875	4.79185	2.70995	0.478122	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.24555
14.6344	20.5052	4.79721	2.72608	0.468977	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.624181
14.4034	20.5876	4.80238	2.76606	0.507121	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.3767
14.1602	20.6594	4.81014	2.79917	0.515079	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.84948
13.9277	20.7277	4.81233	2.83714	0.543877	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.368695
13.664	20.7849	4.8324	2.87353	0.552263	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	2.17477
13.4207	20.8126	4.83271	2.9319	0.619974	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.13259
13.1729	20.8544	4.83933	2.96604	0.622792	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.256505
12.944	20.9124	4.83717	2.98576	0.604365	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.76639
12.728	20.9647	4.82486	3.00671	0.595308	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.55687
12.4837	21.0018	4.83169	3.03467	0.594131	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.70608
12.2373	21.0394	4.84076	3.05897	0.586886	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.321048
12.0007	21.0585	4.83911	3.09037	0.595796	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.859286
11.7507	21.0324	4.83786	3.13421	0.612024	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.74216
11.506	21.0183	4.83753	3.16915	0.615893	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.04747
11.2774	21.0173	4.82864	3.19585	0.612241	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.514056
11.0276	20.9772	4.8323	3.23551	0.621319	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.13936
10.8027	20.9444	4.81893	3.2691	0.625889	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.417812
10.5543	20.9464	4.82108	3.26598	0.5496	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	5.79775
10.2901	20.971	4.84745	3.2694	0.518166	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.69795
10.0514	20.9524	4.847	3.2879	0.507527	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	0.994394
9.83704	20.9209	4.82651	3.31133	0.507411	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.47419
9.59545	20.9167	4.82234	3.30196	0.434056	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.05174
9.38454	20.8701	4.79994	3.32719	0.440218	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	1.24524
9.15536	20.8305	4.79608	3.34929	0.445532	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.55221
8.88774	20.7938	4.82426	3.36336	0.43371	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	1.84303
8.66494	20.7151	4.81729	3.39964	0.459135	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.60138
8.40739	20.6279	4.84026	3.43007	0.466096	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.79543
8.17917	20.5467	4.84099	3.46242	0.485237	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.16548
7.94141	20.4669	4.84882	3.48612	0.483948	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.172507
7.72475	20.3793	4.8462	3.52405	0.52049	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.54705
7.44653	20.3189	4.88758	3.5305	0.493745	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	4.14308
7.22007	20.2201	4.88898	3.55523	0.491693	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.241785
6.96531	20.1397	4.91224	3.56723	0.474651	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	1.35098
6.74278	20.0463	4.90917	3.58423	0.462566	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.32805
6.49679	19.9588	4.92599	3.59549	0.446951	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.820214
6.2809	19.8633	4.92032	3.61451	0.446692	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.57993
6.02508	19.7739	4.94536	3.62066	0.425348	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	1.67841
